Chelsea	Liverpool	16/09/2016 00:00:00
Hull City	Arsenal	17/09/2016 00:00:00
Leicester City	Burnley	17/09/2016 00:00:00
Manchester City	Bournemouth	17/09/2016 00:00:00
West Bromwich Albion	West Ham United	17/09/2016 00:00:00
Everton	Middlesbrough	17/09/2016 00:00:00
Watford	Manchester United	18/09/2016 00:00:00
Crystal Palace	Stoke City	18/09/2016 00:00:00
Southampton	Swansea City	18/09/2016 00:00:00
Tottenham Hotspur	Sunderland	18/09/2016 00:00:00
Manchester United	Leicester City	24/09/2016 00:00:00
Bournemouth	Everton	24/09/2016 00:00:00
Liverpool	Hull City	24/09/2016 00:00:00
Middlesbrough	Tottenham Hotspur	24/09/2016 00:00:00
Stoke City	West Bromwich Albion	24/09/2016 00:00:00
Sunderland	Crystal Palace	24/09/2016 00:00:00
Swansea City	Manchester City	24/09/2016 00:00:00
Arsenal	Chelsea	24/09/2016 00:00:00
West Ham United	Southampton	25/09/2016 00:00:00
Burnley	Watford	26/09/2016 00:00:00
Everton	Crystal Palace	30/09/2016 00:00:00
Swansea City	Liverpool	01/10/2016 00:00:00
Hull City	Chelsea	01/10/2016 00:00:00
Sunderland	West Bromwich Albion	01/10/2016 00:00:00
Watford	Bournemouth	01/10/2016 00:00:00
West Ham United	Middlesbrough	01/10/2016 00:00:00
Manchester United	Stoke City	02/10/2016 00:00:00
Leicester City	Southampton	02/10/2016 00:00:00
Tottenham Hotspur	Manchester City	02/10/2016 00:00:00
Burnley	Arsenal	02/10/2016 00:00:00
Chelsea	Leicester City	15/10/2016 00:00:00
Arsenal	Swansea City	15/10/2016 00:00:00
Bournemouth	Hull City	15/10/2016 00:00:00
Manchester City	Everton	15/10/2016 00:00:00
Stoke City	Sunderland	15/10/2016 00:00:00
West Bromwich Albion	Tottenham Hotspur	15/10/2016 00:00:00
Crystal Palace	West Ham United	15/10/2016 00:00:00
Middlesbrough	Watford	16/10/2016 00:00:00
Southampton	Burnley	16/10/2016 00:00:00
Liverpool	Manchester United	17/10/2016 00:00:00
Bournemouth	Tottenham Hotspur	22/10/2016 00:00:00
Arsenal	Middlesbrough	22/10/2016 00:00:00
Burnley	Everton	22/10/2016 00:00:00
Hull City	Stoke City	22/10/2016 00:00:00
Leicester City	Crystal Palace	22/10/2016 00:00:00
Swansea City	Watford	22/10/2016 00:00:00
West Ham United	Sunderland	22/10/2016 00:00:00
Liverpool	West Bromwich Albion	22/10/2016 00:00:00
Manchester City	Southampton	23/10/2016 00:00:00
Chelsea	Manchester United	23/10/2016 00:00:00
Sunderland	Arsenal	29/10/2016 00:00:00
Manchester United	Burnley	29/10/2016 00:00:00
Middlesbrough	Bournemouth	29/10/2016 00:00:00
Tottenham Hotspur	Leicester City	29/10/2016 00:00:00
Watford	Hull City	29/10/2016 00:00:00
West Bromwich Albion	Manchester City	29/10/2016 00:00:00
Crystal Palace	Liverpool	29/10/2016 00:00:00
Everton	West Ham United	30/10/2016 00:00:00
Southampton	Chelsea	30/10/2016 00:00:00
Stoke City	Swansea City	31/10/2016 00:00:00
Bournemouth	Sunderland	05/11/2016 00:00:00
Burnley	Crystal Palace	05/11/2016 00:00:00
Manchester City	Middlesbrough	05/11/2016 00:00:00
West Ham United	Stoke City	05/11/2016 00:00:00
Chelsea	Everton	05/11/2016 00:00:00
Arsenal	Tottenham Hotspur	06/11/2016 00:00:00
Hull City	Southampton	06/11/2016 00:00:00
Liverpool	Watford	06/11/2016 00:00:00
Swansea City	Manchester United	06/11/2016 00:00:00
Leicester City	West Bromwich Albion	06/11/2016 00:00:00
Manchester United	Arsenal	19/11/2016 00:00:00
Crystal Palace	Manchester City	19/11/2016 00:00:00
Everton	Swansea City	19/11/2016 00:00:00
Southampton	Liverpool	19/11/2016 00:00:00
Stoke City	Bournemouth	19/11/2016 00:00:00
Sunderland	Hull City	19/11/2016 00:00:00
Watford	Leicester City	19/11/2016 00:00:00
Tottenham Hotspur	West Ham United	19/11/2016 00:00:00
Middlesbrough	Chelsea	20/11/2016 00:00:00
West Bromwich Albion	Burnley	21/11/2016 00:00:00
Burnley	Manchester City	26/11/2016 00:00:00
Hull City	West Bromwich Albion	26/11/2016 00:00:00
Leicester City	Middlesbrough	26/11/2016 00:00:00
Liverpool	Sunderland	26/11/2016 00:00:00
Swansea City	Crystal Palace	26/11/2016 00:00:00
Chelsea	Tottenham Hotspur	26/11/2016 00:00:00
Watford	Stoke City	27/11/2016 00:00:00
Arsenal	Bournemouth	27/11/2016 00:00:00
Manchester United	West Ham United	27/11/2016 00:00:00
Southampton	Everton	27/11/2016 00:00:00
Bournemouth	Liverpool	03/12/2016 00:00:00
Crystal Palace	Southampton	03/12/2016 00:00:00
Everton	Manchester United	03/12/2016 00:00:00
Manchester City	Chelsea	03/12/2016 00:00:00
Middlesbrough	Hull City	03/12/2016 00:00:00
Stoke City	Burnley	03/12/2016 00:00:00
Sunderland	Leicester City	03/12/2016 00:00:00
Tottenham Hotspur	Swansea City	03/12/2016 00:00:00
West Bromwich Albion	Watford	03/12/2016 00:00:00
West Ham United	Arsenal	03/12/2016 00:00:00
Everton	Manchester United	04/12/2016 00:00:00
Bournemouth	Liverpool	04/12/2016 00:00:00
Middlesbrough	Hull City	05/12/2016 00:00:00
Arsenal	Stoke City	10/12/2016 00:00:00
Burnley	Bournemouth	10/12/2016 00:00:00
Chelsea	West Bromwich Albion	10/12/2016 00:00:00
Hull City	Crystal Palace	10/12/2016 00:00:00
Leicester City	Manchester City	10/12/2016 00:00:00
Liverpool	West Ham United	10/12/2016 00:00:00
Swansea City	Sunderland	10/12/2016 00:00:00
Watford	Everton	10/12/2016 00:00:00
Manchester United	Tottenham Hotspur	11/12/2016 00:00:00
Southampton	Middlesbrough	11/12/2016 00:00:00
Chelsea	West Bromwich Albion	11/12/2016 00:00:00
Liverpool	West Ham United	11/12/2016 00:00:00
Bournemouth	Leicester City	13/12/2016 00:00:00
Sunderland	Chelsea	13/12/2016 00:00:00
West Ham United	Burnley	13/12/2016 00:00:00
West Bromwich Albion	Swansea City	13/12/2016 00:00:00
Everton	Arsenal	14/12/2016 00:00:00
Middlesbrough	Liverpool	14/12/2016 00:00:00
Crystal Palace	Manchester United	14/12/2016 00:00:00
Manchester City	Watford	14/12/2016 00:00:00
Stoke City	Southampton	14/12/2016 00:00:00
Tottenham Hotspur	Hull City	14/12/2016 00:00:00
Bournemouth	Southampton	17/12/2016 00:00:00
Crystal Palace	Chelsea	17/12/2016 00:00:00
Everton	Liverpool	17/12/2016 00:00:00
Manchester City	Arsenal	17/12/2016 00:00:00
Middlesbrough	Swansea City	17/12/2016 00:00:00
Stoke City	Leicester City	17/12/2016 00:00:00
Sunderland	Watford	17/12/2016 00:00:00
Tottenham Hotspur	Burnley	17/12/2016 00:00:00
West Bromwich Albion	Manchester United	17/12/2016 00:00:00
West Ham United	Hull City	17/12/2016 00:00:00
Arsenal	West Bromwich Albion	26/12/2016 00:00:00
Burnley	Middlesbrough	26/12/2016 00:00:00
Chelsea	Bournemouth	26/12/2016 00:00:00
Hull City	Manchester City	26/12/2016 00:00:00
Leicester City	Everton	26/12/2016 00:00:00
Liverpool	Stoke City	26/12/2016 00:00:00
Manchester United	Sunderland	26/12/2016 00:00:00
Southampton	Tottenham Hotspur	26/12/2016 00:00:00
Swansea City	West Ham United	26/12/2016 00:00:00
Watford	Crystal Palace	26/12/2016 00:00:00
Arsenal	Crystal Palace	31/12/2016 00:00:00
Burnley	Sunderland	31/12/2016 00:00:00
Chelsea	Stoke City	31/12/2016 00:00:00
Hull City	Everton	31/12/2016 00:00:00
Leicester City	West Ham United	31/12/2016 00:00:00
Liverpool	Manchester City	31/12/2016 00:00:00
Manchester United	Middlesbrough	31/12/2016 00:00:00
Southampton	West Bromwich Albion	31/12/2016 00:00:00
Swansea City	Bournemouth	31/12/2016 00:00:00
Watford	Tottenham Hotspur	31/12/2016 00:00:00
Bournemouth	Arsenal	02/01/2017 00:00:00
Crystal Palace	Swansea City	02/01/2017 00:00:00
Everton	Southampton	02/01/2017 00:00:00
Manchester City	Burnley	02/01/2017 00:00:00
Middlesbrough	Leicester City	02/01/2017 00:00:00
Stoke City	Watford	02/01/2017 00:00:00
Sunderland	Liverpool	02/01/2017 00:00:00
Tottenham Hotspur	Chelsea	02/01/2017 00:00:00
West Bromwich Albion	Hull City	02/01/2017 00:00:00
West Ham United	Manchester United	02/01/2017 00:00:00
Burnley	Southampton	14/01/2017 00:00:00
Everton	Manchester City	14/01/2017 00:00:00
Hull City	Bournemouth	14/01/2017 00:00:00
Leicester City	Chelsea	14/01/2017 00:00:00
Manchester United	Liverpool	14/01/2017 00:00:00
Sunderland	Stoke City	14/01/2017 00:00:00
Swansea City	Arsenal	14/01/2017 00:00:00
Tottenham Hotspur	West Bromwich Albion	14/01/2017 00:00:00
Watford	Middlesbrough	14/01/2017 00:00:00
West Ham United	Crystal Palace	14/01/2017 00:00:00
Arsenal	Burnley	21/01/2017 00:00:00
Bournemouth	Watford	21/01/2017 00:00:00
Chelsea	Hull City	21/01/2017 00:00:00
Crystal Palace	Everton	21/01/2017 00:00:00
Liverpool	Swansea City	21/01/2017 00:00:00
Manchester City	Tottenham Hotspur	21/01/2017 00:00:00
Middlesbrough	West Ham United	21/01/2017 00:00:00
Southampton	Leicester City	21/01/2017 00:00:00
Stoke City	Manchester United	21/01/2017 00:00:00
West Bromwich Albion	Sunderland	21/01/2017 00:00:00
Arsenal	Watford	31/01/2017 00:00:00
Bournemouth	Crystal Palace	31/01/2017 00:00:00
Burnley	Leicester City	31/01/2017 00:00:00
Middlesbrough	West Bromwich Albion	31/01/2017 00:00:00
Sunderland	Tottenham Hotspur	31/01/2017 00:00:00
Swansea City	Southampton	31/01/2017 00:00:00
West Ham United	Manchester City	31/01/2017 00:00:00
Liverpool	Chelsea	01/02/2017 00:00:00
Manchester United	Hull City	01/02/2017 00:00:00
Stoke City	Everton	01/02/2017 00:00:00
Chelsea	Arsenal	04/02/2017 00:00:00
Crystal Palace	Sunderland	04/02/2017 00:00:00
Everton	Bournemouth	04/02/2017 00:00:00
Hull City	Liverpool	04/02/2017 00:00:00
Leicester City	Manchester United	04/02/2017 00:00:00
Manchester City	Swansea City	04/02/2017 00:00:00
Southampton	West Ham United	04/02/2017 00:00:00
Tottenham Hotspur	Middlesbrough	04/02/2017 00:00:00
Watford	Burnley	04/02/2017 00:00:00
West Bromwich Albion	Stoke City	04/02/2017 00:00:00
Arsenal	Hull City	11/02/2017 00:00:00
Bournemouth	Manchester City	11/02/2017 00:00:00
Burnley	Chelsea	11/02/2017 00:00:00
Liverpool	Tottenham Hotspur	11/02/2017 00:00:00
Manchester United	Watford	11/02/2017 00:00:00
Middlesbrough	Everton	11/02/2017 00:00:00
Stoke City	Crystal Palace	11/02/2017 00:00:00
Sunderland	Southampton	11/02/2017 00:00:00
Swansea City	Leicester City	11/02/2017 00:00:00
West Ham United	West Bromwich Albion	11/02/2017 00:00:00
Chelsea	Swansea City	25/02/2017 00:00:00
Crystal Palace	Middlesbrough	25/02/2017 00:00:00
Everton	Sunderland	25/02/2017 00:00:00
Hull City	Burnley	25/02/2017 00:00:00
Leicester City	Liverpool	25/02/2017 00:00:00
Manchester City	Manchester United	25/02/2017 00:00:00
Southampton	Arsenal	25/02/2017 00:00:00
Tottenham Hotspur	Stoke City	25/02/2017 00:00:00
Watford	West Ham United	25/02/2017 00:00:00
West Bromwich Albion	Bournemouth	25/02/2017 00:00:00
Leicester City	Hull City	04/03/2017 00:00:00
Liverpool	Arsenal	04/03/2017 00:00:00
Manchester United	Bournemouth	04/03/2017 00:00:00
Stoke City	Middlesbrough	04/03/2017 00:00:00
Sunderland	Manchester City	04/03/2017 00:00:00
Swansea City	Burnley	04/03/2017 00:00:00
Tottenham Hotspur	Everton	04/03/2017 00:00:00
Watford	Southampton	04/03/2017 00:00:00
West Bromwich Albion	Crystal Palace	04/03/2017 00:00:00
West Ham United	Chelsea	04/03/2017 00:00:00
Arsenal	Leicester City	11/03/2017 00:00:00
Bournemouth	West Ham United	11/03/2017 00:00:00
Chelsea	Watford	11/03/2017 00:00:00
Crystal Palace	Tottenham Hotspur	11/03/2017 00:00:00
Everton	West Bromwich Albion	11/03/2017 00:00:00
Hull City	Swansea City	11/03/2017 00:00:00
Manchester City	Stoke City	11/03/2017 00:00:00
Middlesbrough	Sunderland	11/03/2017 00:00:00
Southampton	Manchester United	11/03/2017 00:00:00
Liverpool	Burnley	12/03/2017 00:00:00
Bournemouth	Swansea City	18/03/2017 00:00:00
Crystal Palace	Watford	18/03/2017 00:00:00
Everton	Hull City	18/03/2017 00:00:00
Manchester City	Liverpool	18/03/2017 00:00:00
Middlesbrough	Manchester United	18/03/2017 00:00:00
Stoke City	Chelsea	18/03/2017 00:00:00
Sunderland	Burnley	18/03/2017 00:00:00
Tottenham Hotspur	Southampton	18/03/2017 00:00:00
West Bromwich Albion	Arsenal	18/03/2017 00:00:00
West Ham United	Leicester City	18/03/2017 00:00:00
Arsenal	Manchester City	01/04/2017 00:00:00
Burnley	Tottenham Hotspur	01/04/2017 00:00:00
Chelsea	Crystal Palace	01/04/2017 00:00:00
Hull City	West Ham United	01/04/2017 00:00:00
Leicester City	Stoke City	01/04/2017 00:00:00
Liverpool	Everton	01/04/2017 00:00:00
Manchester United	West Bromwich Albion	01/04/2017 00:00:00
Southampton	Bournemouth	01/04/2017 00:00:00
Swansea City	Middlesbrough	01/04/2017 00:00:00
Watford	Sunderland	01/04/2017 00:00:00
Arsenal	West Ham United	04/04/2017 00:00:00
Burnley	Stoke City	04/04/2017 00:00:00
Hull City	Middlesbrough	04/04/2017 00:00:00
Leicester City	Sunderland	04/04/2017 00:00:00
Swansea City	Tottenham Hotspur	04/04/2017 00:00:00
Watford	West Bromwich Albion	04/04/2017 00:00:00
Manchester United	Everton	04/04/2017 00:00:00
Chelsea	Manchester City	05/04/2017 00:00:00
Southampton	Crystal Palace	05/04/2017 00:00:00
Liverpool	Bournemouth	05/04/2017 00:00:00
Bournemouth	Chelsea	08/04/2017 00:00:00
Crystal Palace	Arsenal	08/04/2017 00:00:00
Everton	Leicester City	08/04/2017 00:00:00
Manchester City	Hull City	08/04/2017 00:00:00
Middlesbrough	Burnley	08/04/2017 00:00:00
Stoke City	Liverpool	08/04/2017 00:00:00
Sunderland	Manchester United	08/04/2017 00:00:00
Tottenham Hotspur	Watford	08/04/2017 00:00:00
West Bromwich Albion	Southampton	08/04/2017 00:00:00
West Ham United	Swansea City	08/04/2017 00:00:00
Crystal Palace	Leicester City	15/04/2017 00:00:00
Everton	Burnley	15/04/2017 00:00:00
Manchester United	Chelsea	15/04/2017 00:00:00
Middlesbrough	Arsenal	15/04/2017 00:00:00
Southampton	Manchester City	15/04/2017 00:00:00
Stoke City	Hull City	15/04/2017 00:00:00
Sunderland	West Ham United	15/04/2017 00:00:00
Tottenham Hotspur	Bournemouth	15/04/2017 00:00:00
Watford	Swansea City	15/04/2017 00:00:00
West Bromwich Albion	Liverpool	16/04/2017 00:00:00
